,rank_1,rank_2,rank_3,rank_4,epoch,backward,val_loss
0,48.165250221764374,47.5553612763945,48.63666414195368,49.93342779116681,10,410,10.957174110412598
1,50.1161505691072,47.56128694316546,48.52749914088356,49.804162991291726,20,820,10.957137489318848
2,48.665860082752204,47.5781824393306,49.20866267655827,50.100941796646815,30,1230,10.956793212890625
3,47.72369069640203,47.598550082388805,45.69501650217585,45.340316007721455,40,1640,10.943766403198243
4,45.81451679934133,42.61646738877854,32.55583524517636,26.999267475556017,50,2050,10.58882122039795
5,3.260647258976098,3.460084977979292,13.684911059249833,16.91207889409014,60,2460,10.282405471801757
6,2.163298972501696,1.899323117451172,7.577082929406718,12.657480201993586,70,2870,10.194043922424317
7,1.7973250238588783,1.4492858665550616,9.549460482200042,11.991958371282651,80,3280,9.879134559631348
8,1.483277324456035,1.1667539927118216,3.872840148319107,6.019035712330107,90,3690,9.94391040802002
9,1.253351678313827,0.9462751136246603,4.733391956473143,7.088620632680179,100,4100,9.712126922607421
10,1.577231142691507,1.3837264441890584,12.52645776543311,15.278544601736012,110,4510,10.073923683166504
11,1.3728527905651,1.096165099458399,11.7899995368003,15.41112411357608,120,4920,9.696278762817382
12,1.155067486200279,0.9367548688289996,10.328210857291102,11.494904011441106,130,5330,9.75012264251709
13,1.074778721957543,0.8138829851236871,3.2222148378791897,4.883222308914178,140,5740,9.501926612854003
14,1.0950444893339688,0.8432664567152325,8.273845126892,10.109369354677886,150,6150,9.672855377197266
15,0.9979074161285205,0.7470600734792474,2.6506300705949295,3.87335600448864,160,6560,9.522278213500977
16,1.0286979994867598,0.847992298396206,3.5414235097098925,5.729035776890773,170,6970,9.549802017211913
17,1.0485622752453507,0.8379431511118975,7.178606691642834,11.622886564758055,180,7380,9.544659996032715
18,0.9460194041854832,0.7623835539142384,3.1076122751215807,4.942118971916828,190,7790,9.507125282287598
19,0.946062421144537,0.7621435888962408,3.049622602094798,4.827744970066567,200,8200,9.502246856689453
20,0.9041973606610196,0.7210165231586076,2.929600785938209,4.5485619350792295,210,8610,9.475820922851563
21,0.9753808685707152,0.8651277595793423,12.14016020118612,13.301813580838203,220,9020,9.258717918395996
22,0.9340320115958427,0.7722661948595282,3.4432508050612167,5.419090780186953,230,9430,9.410923385620118
23,0.9259926199149116,0.7149194528033619,2.9446794923550996,4.522124940191716,240,9840,9.43961009979248
24,0.8946428160889736,0.7197775201064974,3.5115114279421467,5.593691514313458,250,10250,9.147136306762695
25,0.9077629886003624,0.6802861342874603,2.908487667628401,4.489294646031802,260,10660,9.23322925567627
26,0.9278758067890416,0.7099977213117781,3.061592561122679,4.7760067697836,270,11070,9.405619049072266
27,0.9168586856091686,0.7349736721645918,3.233005743127023,5.182810698802256,280,11480,9.164370918273926
28,0.9238465516243419,0.7352479178994461,3.5542319883515345,5.794803966320375,290,11890,9.175182723999024
29,0.93223485863982,0.7601063348658936,3.8156157617520448,6.372556169572654,300,12300,9.382470893859864
30,0.9463348618852105,0.786541664807754,4.084227647456329,6.656156827900155,310,12710,9.424256134033204
31,0.9218725511699872,0.7423929987414569,3.2856384109357606,5.212559416735033,320,13120,9.22053928375244
32,0.9352173678008789,0.7573687747626147,3.5581902403274106,5.787669414958419,330,13530,9.162396430969238
33,0.9117157691711889,0.6912608609269026,3.182540776677877,4.915457808050619,340,13940,9.370442390441895
34,0.8809347451371837,0.7118880579841675,3.2808416393461233,5.253746730420723,350,14350,8.902009010314941
35,0.9208305848284635,0.749180580679104,3.3528701080024246,5.480366623283493,360,14760,9.417712593078614
36,0.9042021403231367,0.6914371617564519,3.3393732377128043,5.248949514276635,370,15170,9.329541397094726
37,0.889394747084418,0.7071132438505414,3.349929796867708,5.333873690165713,380,15580,9.344336318969727
38,0.8793574566385468,0.667332920560854,3.6166815604593694,5.864741698753716,390,15990,9.352410125732423
39,0.8544793153191373,0.6833469125782463,3.1438919796331275,4.904099913130038,400,16400,9.524194526672364
40,0.8716860989406309,0.6665003888657602,3.046338095136092,4.702323920946182,410,16810,9.327180290222168
41,0.9075144461702742,0.713190725224726,3.4526136638052645,5.558742076074941,420,17220,9.379766654968261
42,0.8775889816552266,0.6635424527255447,3.2303766728969774,5.061514358889872,430,17630,9.247589874267579
43,0.8650423685978875,0.6848944420820677,3.639006687468544,5.987867257532257,440,18040,9.379567527770996
44,0.9035616655994477,0.7243417526937175,3.488285533138277,5.653487842150606,450,18450,9.227495765686035
45,0.9004883428581644,0.714424831031571,3.4013651026078877,5.386200707632721,460,18860,9.248579216003417
46,0.8735167095314731,0.6786602488593948,3.314960965813482,5.318546509862359,470,19270,9.208357429504394
47,0.8762315576139754,0.7104678568572428,3.58016018653949,5.827413080421309,480,19680,9.34297866821289
48,0.8599233504704932,0.6678618230495019,3.1986117923320125,5.149597822918702,490,20090,9.151543235778808
49,0.8786883039421554,0.7362273669524977,3.7871866513536143,6.146094689454828,500,20500,9.064089965820312
